scene,id,title,artist,videoId,focus,length,license
B9_smooth,b9_smooth-nqv0o7hva4i,Straighty Baby,Audionautix / Jason Shaw,NqV0o7hVa4I,5,215,CC BY 4.0
B9_smooth,b9_smooth-rstmmm-8w1i,Stratosphere,Eric Matyas (Soundimage.org),RsTmmM-8W1I,5,199,Free with attribution
B9_smooth,b9_smooth-fvpvz2uwdb8,THE ミュラ ー,MusMus,fVpVz2UWdb8,5,238,Free with attribution (musmus.main.jp)
B9_smooth,b9_smooth-oerdo5keu3e,Tiki Breeze,Eric Matyas (Soundimage.org),oERdo5kEU3E,5,129,Free with attribution
B9_smooth,b9_smooth--jg7v3e3lew,Tom Perry,Twin Musicom,-JG7V3E3Lew,5,164,CC BY 4.0
B9_smooth,b9_smooth-n2y4cz4ltbg,Touchpoint,Audionautix / Jason Shaw,n2y4cZ4Ltbg,5,290,CC BY 4.0
B9_smooth,b9_smooth-gwqkv76azgi,Triangle,Audionautix / Jason Shaw,gWQKv76azGI,5,221,CC BY 4.0
B9_smooth,b9_smooth-lfsn0blcuqa,Wheels,Audionautix / Jason Shaw,lfsn0BlCUqA,5,212,CC BY 4.0
B9_smooth,b9_smooth-wm7fxpwi-ly,With a Stamp,Twin Musicom,Wm7fXPwI-LY,5,282,CC BY 4.0
B9_smooth,b9_smooth-tgmdouoy-yk,turns into George Lucas...again,TeknoAXE,tGMDouOy-yk,5,665,CC BY 4.0
B9_smooth,b9_smooth-ecfvi2ebav0,ジャズで聴くファイナルファンタジー4,MusMus,EcfVi2EBaV0,5,196,Free with attribution (musmus.main.jp)
B9_smooth,b9_smooth-clzw4fdx7ug,卒業（体育館 ）,MusMus,CLzw4fDx7ug,5,236,Free with attribution (musmus.main.jp)
B9_smooth,b9_smooth-mfawighzage,卒業（音楽室 ）,MusMus,MfaWiGHZAgE,5,236,Free with attribution (musmus.main.jp)
B9_smooth,b9_smooth-wz_2ur4j4eo,怠惰の果実,MusMus,wZ_2uR4j4eo,5,327,Free with attribution (musmus.main.jp)
B9_smooth,b9_smooth-rlx6i2fnqk4,手描きアート Koichi Morita Art 004 Alien Sorting Soul,魔王魂 (森田交一),rlX6i2fNQK4,5,739,Free with attribution (maou.audio terms)
B9_smooth,b9_smooth-otgdebate2q,暗いジャズのアコースティック02,魔王魂 (森田交一),otGDEbATe2Q,5,105,Free with attribution (maou.audio terms)
B9_smooth,b9_smooth-3xjqtmpqvoc,Classical Carnivale,Twin Musicom,3XJQtMPQvoc,4,91,CC BY 4.0
B9_smooth,b9_smooth-h3ylvrgmkam,ややジャズぃ〜なアコースティック15,魔王魂 (森田交一),h3YLVRGmkaM,4,61,Free with attribution (maou.audio terms)
B9_smooth,b9_smooth-slhv2v6c64u,心地よいジャズのアコースティック11,魔王魂 (森田交一),slhV2v6C64U,4,87,Free with attribution (maou.audio terms)
B10_fusion,b10_fusion-kisszsqu7nq,Cold Funk - Funkorama,Kevin MacLeod,KISsZSqU7nQ,4,289,CC BY 4.0
B10_fusion,b10_fusion-dmio-dt5bfw,Funkorama,Kevin MacLeod,dmIO-dT5BFw,4,203,CC BY 4.0
B10_fusion,b10_fusion-wrw5uaagnw8,Local Forecast,Kevin MacLeod,wRw5uAAGnw8,4,190,CC BY 4.0
B10_fusion,b10_fusion-5iyl1l34pis,Local Forecast - Elevator,Kevin MacLeod,5IyL1l34PIs,4,192,CC BY 4.0
B10_fusion,b10_fusion-3jvixh3tmp0,Local Forecast - Slower,Kevin MacLeod,3JVIxh3tMp0,4,201,CC BY 4.0
B10_fusion,b10_fusion-deb5zrrsaz4,Local Forecast Elevator,Kevin MacLeod,dEb5zRrSAZ4,4,190,CC BY 4.0
B10_fusion,b10_fusion-kjmaelp4lvi,AcidJazz,Kevin MacLeod,kJmAelp4lVI,3,180,CC BY 4.0
B10_fusion,b10_fusion-x5cdq4zyzom,C-Funk - Funkorama,Kevin MacLeod,X5cDq4ZyZoM,3,171,CC BY 4.0
B10_fusion,b10_fusion-gimbmtwbv1s,Laser Groove,Kevin MacLeod,GImBmTwBV1s,3,168,CC BY 4.0
B10_fusion,b10_fusion-hywhvtkxo6u,Local Forecast (Normal),Kevin MacLeod,HYWhvTkXO6U,3,166,CC BY 4.0
B11_free,b11_free-urgd-inuywy,2017.12.08 Atonal,Kevin MacLeod,uRGd-INuYWY,1,344,CC BY 4.0
B11_free,b11_free-ke3wr5d1fua,Atonal in C-ish,Kevin MacLeod,kE3WR5d1fuA,1,42,CC BY 4.0
B12_dixie,b12_dixie-b1wiejj99xa,Fig Leaf Rag - distressed,Kevin MacLeod,B1WIEJj99XA,4,212,CC BY 4.0
B12_dixie,b12_dixie-01afmksqzu0,Fig Leaf Times Two,Kevin MacLeod,01AFmkSqZu0,4,381,CC BY 4.0
B12_dixie,b12_dixie-uahft4fw0hm,2007 04 & Dan Beimborn - Ragtime Annie,Kevin MacLeod,uaHFt4Fw0HM,3,160,CC BY 4.0
B12_dixie,b12_dixie-vhh1qd6-r0m,Fig Leaf Rag,Kevin MacLeod,vHh1Qd6-r0M,3,211,CC BY 4.0
B12_dixie,b12_dixie--2l1yqnjuku,Frogs Legs Rag,Kevin MacLeod,-2L1YqnJuKU,3,169,CC BY 4.0
B12_dixie,b12_dixie-b1izxvfdjis,Maple Leaf Rag,Kevin MacLeod,B1izxvFdJis,3,152,CC BY 4.0
B13_soul,b13_soul-sk883ji5uas,'s - (Resonance Experiment) Funky Big Beat Music,TeknoAXE,Sk883ji5Uas,4,257,CC BY 4.0
B13_soul,b13_soul-1dgxozonlgi,'s - Royalty Free Jam Music (Speaker Stomp Boogie) Rock/Retro/Hard,TeknoAXE,1dGXozoNlGI,4,199,CC BY 4.0
B13_soul,b13_soul-advszjs_n_g,'s - Royalty Free Song (Transient) Get Funky Song,TeknoAXE,adVSZJS_n_g,4,320,CC BY 4.0
B13_soul,b13_soul-l7wtgxtjntc,Boogie Party,Kevin MacLeod,l7WTgXTjNtc,4,318,CC BY 4.0
B13_soul,b13_soul-dmzt2cnilvu,Clean Soul,Kevin MacLeod,DmZT2cniLVU,4,309,CC BY 4.0
B13_soul,b13_soul-thihnuqjhf4,Clean Soul (EP and Bass Duet),Kevin MacLeod,THihnuQJHF4,4,307,CC BY 4.0
B13_soul,b13_soul-m822dtfvpae,Clean Soul - Calming,Kevin MacLeod,M822DtfVpaE,4,307,CC BY 4.0
B13_soul,b13_soul-0gp8kimr1zy,Cold Funk,Kevin MacLeod,0GP8kImr1zY,4,291,CC BY 4.0
B13_soul,b13_soul-eb1zg49ulio,Funk Japan / Copyright,MusMus,EB1zg49Ulio,4,207,Free with attribution (musmus.main.jp)
B13_soul,b13_soul-yicqegdwca0,Funk You O - Funk/Alternative,TeknoAXE,yiCQeGdwcA0,4,232,CC BY 4.0
B13_soul,b13_soul-mk1l2xyxuv4,Funk the Chilldown - Funk/Chill,TeknoAXE,mK1L2xyXuV4,4,258,CC BY 4.0
B13_soul,b13_soul-kixdwb3ksh8,Funky Boxstep,Kevin MacLeod,KixDwB3ksh8,4,316,CC BY 4.0
B13_soul,b13_soul-s9qlz6dviwu,Funky One,Kevin MacLeod,S9QLZ6dVIWU,4,183,CC BY 4.0
B13_soul,b13_soul-v3e3_pfja44,Got Funk,Kevin MacLeod,v3E3_pFJA44,4,282,CC BY 4.0
B13_soul,b13_soul-f-k7kk7xeim,Groove Grove,Kevin MacLeod,f-k7Kk7XeIM,4,207,CC BY 4.0
B13_soul,b13_soul-xqaozlds9kc,Groove Grove (with composer commentary),Kevin MacLeod,XqAozLDS9kc,4,206,CC BY 4.0
B13_soul,b13_soul-iujdybezofk,Groove Grove - .com,Kevin MacLeod,IUJdYbeZoFk,4,206,CC BY 4.0
B13_soul,b13_soul-81nl9dgoewa,Jam the Future - Funk/Alternative,TeknoAXE,81NL9DGoeWA,4,210,CC BY 4.0
B13_soul,b13_soul-6ccwezvgxtc,Jumpin Boogie Woogie,Audionautix / Jason Shaw,6cCwEZvgXtc,4,183,CC BY 4.0
B13_soul,b13_soul-yypkc7tgrhk,Moped Cruising -- Breakbeats/Funk,TeknoAXE,yYpKC7TgRHk,4,253,CC BY 4.0
B13_soul,b13_soul-_fuxd7mw2xo,Palm and Soul,Kevin MacLeod,_fuXd7mW2xo,4,242,CC BY 4.0
B13_soul,b13_soul-6eoummyzf9s,Shifting Sands - Funk/Easy,TeknoAXE,6EouMmYZf9s,4,233,CC BY 4.0
B13_soul,b13_soul-58ismd33iuq,Simpler Times - Funk/Alternative,TeknoAXE,58ISMD33IuQ,4,226,CC BY 4.0
B13_soul,b13_soul-wse9bkkdghi,Boogie Woogie Bed,Audionautix / Jason Shaw,wSe9BkkDGhI,3,147,CC BY 4.0
B13_soul,b13_soul-kyvxdeu8fyy,C-Funk,Kevin MacLeod,KyvXdEu8fYY,3,173,CC BY 4.0
B13_soul,b13_soul-a37a7a2pbwm,Funky Gameplay,Eric Matyas (Soundimage.org),a37a7A2PBwM,3,137,Free with attribution
B13_soul,b13_soul-2lkoboatetg,Captain Glouglou & their beautiful keyboard - Organ,Loyalty Freak Music / Komiku,2lkoboAtETg,2,93,CC0
B13_soul,b13_soul-j5bjczyyhic,Funky Goat Store,MusMus,J5bJCZyyHIc,2,61,Free with attribution (musmus.main.jp)
B13_soul,b13_soul-xd9v_0kqjc4,Funky Monster Mischief,Eric Matyas (Soundimage.org),Xd9V_0kQjC4,2,76,Free with attribution
B13_soul,b13_soul-j5yc2j9kjgu,Funky Runnin',Eric Matyas (Soundimage.org),j5yc2j9KjgU,2,93,Free with attribution
B13_soul,b13_soul-d4kfviefv6m,Future Funk,Eric Matyas (Soundimage.org),D4KFvIefV6M,2,86,Free with attribution
B13_soul,b13_soul-w8-brfquku4,Unconventional Organ,MusMus,W8-bRfQuku4,2,90,Free with attribution (musmus.main.jp)
B13_soul,b13_soul-_pvxp9xx05q,Funk Game,Kevin MacLeod,_pVxP9xX05Q,1,59,CC BY 4.0
B13_soul,b13_soul-hx0cphltu10,Funky Streets,Eric Matyas (Soundimage.org),hX0cPhLTu10,1,51,Free with attribution
B14_noir,b14_noir-5b9a2w5eftm,Dances and Dames,Kevin MacLeod,5B9a2W5eFTM,5,180,CC BY 4.0
B14_noir,b14_noir-wfbiexutm6a,Darkest Child,Kevin MacLeod,WfBIexUTm6A,5,239,CC BY 4.0
B14_noir,b14_noir-fzi1o9dhmzg,Darkest Child (var A),Kevin MacLeod,fZi1O9dHMZg,5,200,CC BY 4.0
B14_noir,b14_noir-ncwyta2kt8g,Darkest Child A,Kevin MacLeod,nCwYta2Kt8g,5,198,CC BY 4.0
B14_noir,b14_noir-3xieyu0qxzg,I Knew a Guy,Kevin MacLeod,3XiEYu0Qxzg,5,180,CC BY 4.0
B14_noir,b14_noir-njle-047bzc,Royalty Free Song (Shadow nights W_ Vocals) Downtempo/Electronica Music,TeknoAXE,NJle-047bZc,5,259,CC BY 4.0
B14_noir,b14_noir-kbjzxvjezoa,Spy Groove,Kevin MacLeod,kbjZxvjEzOA,5,183,CC BY 4.0
B14_noir,b14_noir-fx0sguvknns,The Arcade Detective,Eric Matyas (Soundimage.org),Fx0sGuVknNs,5,117,Free with attribution
B14_noir,b14_noir-irgqbbpr1ke,Hard Boiled,Kevin MacLeod,irgqBbPR1kE,4,180,CC BY 4.0
B14_noir,b14_noir-7_t7gq8olgk,Investigations,Kevin MacLeod,7_t7gQ8Olgk,4,96,CC BY 4.0
B14_noir,b14_noir-k4vw4lkoejy,deck brush detective,MusMus,k4VW4LkoeJY,4,78,Free with attribution (musmus.main.jp)
B14_noir,b14_noir-rki9jvgw7ty,Future Noir,Eric Matyas (Soundimage.org),RKi9JVgW7tY,3,55,Free with attribution
C1_lounge,c1_lounge-_tro5l3ong0,10 Past Midnight,Eric Matyas (Soundimage.org),_TRO5l3onG0,5,109,Free with attribution
C1_lounge,c1_lounge-3jsmyi38bgk,Airport Lounge,Kevin MacLeod,3jsMYi38bGk,5,308,CC BY 4.0
